Team,Date,ATT,MID,DEF,OVR
CD Leganés,1,73,76,75,75
Sporting Gijón,1,75,74,73,74
Granada CF,1,72,73,73,74
CA Osasuna,1,74,74,73,73
Real Madrid,2,88,86,86,86
FC Barcelona,2,92,85,83,85
Atlético Madrid,2,84,82,84,83
Sevilla FC,2,80,82,78,81
Villarreal CF,2,78,81,81,80
Athletic Bilbao,2,80,81,79,79
Valencia CF,2,78,79,79,79
Celta Vigo,2,79,79,78,78
Real Sociedad,2,79,78,76,78
Real Betis,2,79,77,76,77
RCD Espanyol,2,78,77,76,77
UD Las Palmas,2,77,78,76,77
Málaga CF,2,77,77,76,77
SD Eibar,2,78,77,76,76
RC Deportivo,2,77,77,76,76
Deport. Alavés,2,76,75,75,75
CD Leganés,2,73,76,74,75
Granada CF,2,75,74,73,74
Sporting Gijón,2,75,74,73,74
CA Osasuna,2,74,73,73,73
Real Madrid,3,88,86,86,86
FC Barcelona,3,92,84,84,85
Atlético Madrid,3,84,82,84,83
Sevilla FC,3,80,81,79,81
Villarreal CF,3,79,81,80,80
Athletic Bilbao,3,80,81,79,79
Valencia CF,3,78,79,79,79
Celta Vigo,3,79,79,78,78
Real Sociedad,3,79,78,77,78
UD Las Palmas,3,80,79,76,77
Real Betis,3,79,76,76,77
RCD Espanyol,3,78,77,76,77
Málaga CF,3,77,77,76,77
SD Eibar,3,78,77,76,76
RC Deportivo,3,77,76,76,76
Deport. Alavés,3,76,76,75,75
CD Leganés,3,73,76,74,75
Granada CF,3,75,74,73,74
Sporting Gijón,3,75,73,73,74
CA Osasuna,3,72,74,72,74
Real Madrid,4,88,86,86,86
FC Barcelona,4,92,85,83,85
Atlético Madrid,4,84,82,84,83
Sevilla FC,4,80,81,79,81
Villarreal CF,4,79,81,80,80
Athletic Bilbao,4,80,81,79,79
Valencia CF,4,78,79,79,79
Celta Vigo,4,79,79,78,78
Real Sociedad,4,79,78,76,78
UD Las Palmas,4,80,79,76,77
Real Betis,4,79,76,74,77
RCD Espanyol,4,78,77,76,77
Málaga CF,4,75,78,76,77
RC Deportivo,4,77,77,76,76
SD Eibar,4,75,77,76,76
Deport. Alavés,4,76,76,75,75
CD Leganés,4,73,76,75,75
Granada CF,4,75,73,73,74
Sporting Gijón,4,74,73,73,74
CA Osasuna,4,73,74,72,74
Real Madrid,5,88,86,86,86
FC Barcelona,5,92,85,83,85
Atlético Madrid,5,84,82,84,83
Sevilla FC,5,80,81,80,81
Villarreal CF,5,79,81,80,80
Athletic Bilbao,5,80,81,79,79
Valencia CF,5,78,79,79,79
Celta Vigo,5,79,79,78,78
Real Sociedad,5,79,78,76,78
Real Betis,5,79,76,74,77
RCD Espanyol,5,78,77,76,77
UD Las Palmas,5,77,79,76,77
Málaga CF,5,77,77,77,77
SD Eibar,5,78,77,76,76
RC Deportivo,5,77,77,76,76
Deport. Alavés,5,76,76,75,75
CD Leganés,5,74,76,75,75
Granada CF,5,78,73,72,74
Sporting Gijón,5,75,73,73,74
CA Osasuna,5,75,73,73,73
